Time after synchronization (s),ADC I on primary,ADC Q on primary
0.000008190,936,936
0.000008200,1036,1036
0.000008210,668,668
0.000008220,976,976
0.000008230,964,964
0.000008240,756,756
0.000008250,992,992
0.000008260,796,796
0.000008270,460,460
0.000008280,916,916
0.000008290,944,944
0.000008300,1012,1012
0.000008310,564,564
0.000008320,1112,1112
0.000008330,624,624
0.000008340,808,808
0.000008350,784,784
0.000008360,800,800
0.000008370,868,868
0.000008380,1056,1056
0.000008390,1004,1004
0.000008400,816,816
0.000008410,840,840
0.000008420,1040,1040
0.000008430,904,904
0.000008440,824,824
0.000008450,528,528
0.000008460,976,976
0.000008470,672,672
0.000008480,1196,1196
0.000008490,920,920
0.000008500,1132,1132
0.000008510,796,796
0.000008520,744,744
0.000008530,1016,1016
0.000008540,948,948
0.000008550,704,704
0.000008560,940,940
0.000008570,1088,1088
0.000008580,1008,1008
0.000008590,856,856
0.000008600,872,872
0.000008610,924,924
0.000008620,916,916
0.000008630,844,844
0.000008640,940,940
0.000008650,1316,1316
0.000008660,1124,1124
0.000008670,1248,1248
0.000008680,460,460
0.000008690,660,660
0.000008700,784,784
0.000008710,392,392
0.000008720,952,952
0.000008730,944,944
0.000008740,1192,1192
0.000008750,832,832
0.000008760,1172,1172
0.000008770,944,944
0.000008780,1096,1096
0.000008790,604,604
0.000008800,1004,1004
0.000008810,916,916
0.000008820,768,768
0.000008830,768,768
0.000008840,964,964
0.000008850,496,496
0.000008860,1068,1068
0.000008870,1060,1060
0.000008880,908,908
0.000008890,952,952
0.000008900,468,468
0.000008910,1188,1188
0.000008920,1212,1212
0.000008930,1144,1144
0.000008940,856,856
0.000008950,1228,1228
0.000008960,844,844
0.000008970,912,912
0.000008980,1268,1268
0.000008990,688,688
0.000009000,996,996
0.000009010,1028,1028
0.000009020,1144,1144
0.000009030,1216,1216
0.000009040,728,728
0.000009050,1096,1096
0.000009060,1004,1004
0.000009070,1188,1188
0.000009080,768,768
0.000009090,856,856
0.000009100,716,716
0.000009110,916,916
0.000009120,820,820
0.000009130,828,828
0.000009140,664,664
0.000009150,632,632
0.000009160,1268,1268
0.000009170,1112,1112
0.000009180,1144,1144
0.000009190,1064,1064
0.000009200,1020,1020
0.000009210,728,728
0.000009220,772,772
0.000009230,944,944
0.000009240,572,572
0.000009250,808,808
0.000009260,860,860
0.000009270,1024,1024
0.000009280,788,788
0.000009290,1004,1004
0.000009300,964,964
0.000009310,1120,1120
0.000009320,984,984
0.000009330,928,928
0.000009340,944,944
0.000009350,532,532
0.000009360,1136,1136
0.000009370,772,772
0.000009380,1032,1032
0.000009390,484,484
0.000009400,1016,1016
0.000009410,1140,1140
0.000009420,1156,1156
0.000009430,960,960
0.000009440,772,772
0.000009450,772,772
0.000009460,1024,1024
0.000009470,1124,1124
0.000009480,1160,1160
0.000009490,448,448
0.000009500,1040,1040
0.000009510,980,980
0.000009520,864,864
0.000009530,796,796
0.000009540,872,872
0.000009550,648,648
0.000009560,900,900
0.000009570,1064,1064
0.000009580,820,820
0.000009590,880,880
0.000009600,996,996
0.000009610,500,500
0.000009620,540,540
0.000009630,1016,1016
0.000009640,372,372
0.000009650,876,876
0.000009660,796,796
0.000009670,756,756
0.000009680,992,992
0.000009690,584,584
0.000009700,1140,1140
0.000009710,840,840
0.000009720,716,716
0.000009730,828,828
0.000009740,888,888
0.000009750,1356,1356
0.000009760,776,776
0.000009770,1140,1140
0.000009780,764,764
0.000009790,560,560
0.000009800,864,864
0.000009810,980,980
0.000009820,404,404
0.000009830,1212,1212
0.000009840,692,692
0.000009850,660,660
0.000009860,892,892
0.000009870,932,932
0.000009880,1004,1004
0.000009890,892,892
0.000009900,644,644
0.000009910,1032,1032
0.000009920,976,976
0.000009930,896,896
0.000009940,1000,1000
0.000009950,772,772
0.000009960,688,688
0.000009970,916,916
0.000009980,988,988
0.000009990,1000,1000
0.000010000,1036,1036
0.000010010,848,848
0.000010020,1332,1332
0.000010030,1008,1008
0.000010040,964,964
0.000010050,1000,1000
0.000010060,1080,1080
0.000010070,1104,1104
0.000010080,632,632
0.000010090,772,772
0.000010100,540,540
0.000010110,608,608
0.000010120,1136,1136
0.000010130,640,640
0.000010140,568,568
0.000010150,740,740
0.000010160,1164,1164
0.000010170,976,976
0.000010180,652,652
0.000010190,820,820
0.000010200,896,896
0.000010210,1040,1040
0.000010220,868,868
0.000010230,836,836
0.000010240,1184,1184
0.000010250,1076,1076
0.000010260,844,844
0.000010270,876,876
0.000010280,1104,1104
0.000010290,728,728
0.000010300,904,904
0.000010310,1044,1044
0.000010320,1152,1152
0.000010330,668,668
0.000010340,1016,1016
0.000010350,796,796
0.000010360,1060,1060
0.000010370,1100,1100
0.000010380,908,908
0.000010390,880,880
0.000010400,624,624
0.000010410,1044,1044
0.000010420,772,772
0.000010430,908,908
0.000010440,704,704
0.000010450,648,648
0.000010460,1128,1128
0.000010470,968,968
0.000010480,1036,1036
0.000010490,944,944
0.000010500,632,632
0.000010510,1072,1072
0.000010520,884,884
0.000010530,1084,1084
0.000010540,1128,1128
0.000010550,1080,1080
0.000010560,988,988
0.000010570,792,792
0.000010580,816,816
0.000010590,984,984
0.000010600,784,784
0.000010610,1208,1208
0.000010620,904,904
0.000010630,1380,1380
0.000010640,848,848
0.000010650,764,764
0.000010660,828,828
0.000010670,848,848
0.000010680,672,672
0.000010690,840,840
0.000010700,688,688
0.000010710,904,904
0.000010720,868,868
0.000010730,656,656
0.000010740,596,596
0.000010750,1276,1276
0.000010760,808,808
0.000010770,652,652
0.000010780,840,840
0.000010790,964,964
0.000010800,604,604
0.000010810,636,636
0.000010820,972,972
0.000010830,1144,1144
0.000010840,1264,1264
0.000010850,924,924
0.000010860,1024,1024
0.000010870,1160,1160
0.000010880,752,752
0.000010890,836,836
0.000010900,980,980
0.000010910,608,608
0.000010920,1152,1152
0.000010930,992,992
0.000010940,992,992
0.000010950,852,852
0.000010960,1072,1072
0.000010970,772,772
0.000010980,728,728
0.000010990,712,712
0.000011000,1204,1204
0.000011010,1100,1100
0.000011020,1220,1220
0.000011030,820,820
0.000011040,848,848
0.000011050,892,892
0.000011060,956,956
0.000011070,776,776
0.000011080,936,936
0.000011090,784,784
0.000011100,964,964
0.000011110,1004,1004
0.000011120,840,840
0.000011130,752,752
0.000011140,1152,1152
0.000011150,1068,1068
0.000011160,580,580
0.000011170,896,896
0.000011180,900,900
0.000011190,896,896
0.000011200,944,944
0.000011210,1104,1104
0.000011220,1040,1040
0.000011230,944,944
0.000011240,1132,1132
0.000011250,876,876
0.000011260,860,860
0.000011270,952,952
0.000011280,652,652
0.000011290,780,780
0.000011300,680,680
0.000011310,964,964
0.000011320,920,920
0.000011330,704,704
0.000011340,1024,1024
0.000011350,528,528
0.000011360,832,832
0.000011370,1128,1128
0.000011380,1136,1136
0.000011390,740,740
0.000011400,872,872
0.000011410,1040,1040
0.000011420,1328,1328
0.000011430,896,896
0.000011440,920,920
0.000011450,904,904
0.000011460,988,988
0.000011470,1048,1048
0.000011480,928,928
0.000011490,940,940
0.000011500,824,824
0.000011510,1092,1092
0.000011520,980,980
0.000011530,764,764
0.000011540,924,924
0.000011550,1080,1080
0.000011560,932,932
0.000011570,900,900
0.000011580,460,460
0.000011590,844,844
0.000011600,508,508
0.000011610,948,948
0.000011620,688,688
0.000011630,772,772
0.000011640,1044,1044
0.000011650,912,912
0.000011660,720,720
0.000011670,1024,1024
0.000011680,816,816
0.000011690,696,696
0.000011700,716,716
0.000011710,1168,1168
0.000011720,1116,1116
0.000011730,672,672
0.000011740,868,868
0.000011750,652,652
0.000011760,900,900
0.000011770,852,852
0.000011780,708,708
0.000011790,776,776
0.000011800,956,956
0.000011810,868,868
0.000011820,740,740
0.000011830,1004,1004
0.000011840,652,652
0.000011850,944,944
0.000011860,1176,1176
0.000011870,856,856
0.000011880,808,808
0.000011890,876,876
0.000011900,952,952
0.000011910,624,624
0.000011920,1388,1388
0.000011930,656,656
0.000011940,616,616
0.000011950,856,856
0.000011960,1092,1092
0.000011970,652,652
0.000011980,1092,1092
0.000011990,1216,1216
0.000012000,748,748
0.000012010,992,992
0.000012020,612,612
0.000012030,684,684
0.000012040,752,752
0.000012050,696,696
0.000012060,952,952
0.000012070,1060,1060
0.000012080,960,960
0.000012090,1108,1108
0.000012100,972,972
0.000012110,868,868
0.000012120,932,932
0.000012130,916,916
0.000012140,732,732
0.000012150,988,988
0.000012160,812,812
0.000012170,968,968
0.000012180,736,736
0.000012190,764,764
0.000012200,708,708
0.000012210,792,792
0.000012220,732,732
0.000012230,724,724
0.000012240,1088,1088
0.000012250,900,900
0.000012260,668,668
0.000012270,948,948
0.000012280,904,904
0.000012290,876,876
0.000012300,944,944
0.000012310,840,840
0.000012320,676,676
0.000012330,1044,1044
0.000012340,588,588
0.000012350,1132,1132
0.000012360,968,968
0.000012370,628,628
0.000012380,660,660
0.000012390,976,976
0.000012400,988,988
0.000012410,852,852
0.000012420,1052,1052
0.000012430,628,628
0.000012440,780,780
0.000012450,808,808
0.000012460,748,748
0.000012470,948,948
0.000012480,776,776
0.000012490,852,852
0.000012500,728,728
0.000012510,904,904
0.000012520,820,820
0.000012530,680,680
0.000012540,1048,1048
0.000012550,772,772
0.000012560,652,652
0.000012570,1128,1128
0.000012580,1040,1040
0.000012590,696,696
0.000012600,964,964
