Time after synchronization (s),ADC I on primary,ADC Q on primary
0.000008890,640,448
0.000008900,728,300
0.000008910,912,176
0.000008920,764,320
0.000008930,668,476
0.000008940,816,256
0.000008950,904,204
0.000008960,660,352
0.000008970,624,512
0.000008980,872,200
0.000008990,876,160
0.000009000,724,396
0.000009010,708,360
0.000009020,908,224
0.000009030,876,236
0.000009040,680,424
0.000009050,728,364
0.000009060,980,120
0.000009070,880,292
0.000009080,628,384
0.000009090,776,328
0.000009100,1008,136
0.000009110,848,244
0.000009120,656,452
0.000009130,800,256
0.000009140,964,104
0.000009150,764,304
0.000009160,600,468
0.000009170,856,228
0.000009180,956,176
0.000009190,700,384
0.000009200,672,452
0.000009210,904,196
0.000009220,952,144
0.000009230,708,428
0.000009240,632,436
0.000009250,848,228
0.000009260,924,204
0.000009270,584,384
0.000009280,632,424
0.000009290,916,168
0.000009300,860,180
0.000009310,716,384
0.000009320,692,428
0.000009330,940,164
0.000009340,816,148
0.000009350,676,496
0.000009360,684,380
0.000009370,908,116
0.000009380,884,148
0.000009390,644,464
0.000009400,744,368
0.000009410,968,144
0.000009420,872,196
0.000009430,580,512
0.000009440,764,308
0.000009450,928,140
0.000009460,828,216
0.000009470,608,468
0.000009480,744,328
0.000009490,976,76
0.000009500,832,236
0.000009510,632,476
0.000009520,744,300
0.000009530,984,116
0.000009540,812,276
0.000009550,628,520
0.000009560,712,288
0.000009570,976,116
0.000009580,824,268
0.000009590,560,500
0.000009600,756,324
0.000009610,972,96
0.000009620,784,208
0.000009630,596,492
0.000009640,768,272
0.000009650,1012,128
0.000009660,836,276
0.000009670,656,508
0.000009680,728,276
0.000009690,956,140
0.000009700,840,256
0.000009710,572,532
0.000009720,732,400
0.000009730,964,108
0.000009740,816,312
0.000009750,568,492
0.000009760,660,320
0.000009770,948,56
0.000009780,868,176
0.000009790,608,524
0.000009800,712,340
0.000009810,1004,104
0.000009820,876,204
0.000009830,612,524
0.000009840,656,416
0.000009850,936,124
0.000009860,904,224
0.000009870,588,560
0.000009880,676,400
0.000009890,940,96
0.000009900,884,136
0.000009910,652,460
0.000009920,628,416
0.000009930,920,124
0.000009940,984,164
0.000009950,652,440
0.000009960,616,472
0.000009970,972,104
0.000009980,964,120
0.000009990,676,408
0.000010000,584,448
0.000010010,884,160
0.000010020,996,112
0.000010030,728,384
0.000010040,592,468
0.000010050,808,236
0.000010060,1028,28
0.000010070,788,328
0.000010080,564,564
0.000010090,800,264
0.000010100,1040,0
0.000010110,832,240
0.000010120,520,544
0.000010130,700,304
0.000010140,992,36
0.000010150,860,256
0.000010160,588,544
0.000010170,696,360
0.000010180,1000,40
0.000010190,936,168
0.000010200,604,448
0.000010210,600,428
0.000010220,988,84
0.000010230,996,132
0.000010240,672,420
0.000010250,620,524
0.000010260,924,200
0.000010270,1008,40
0.000010280,724,356
0.000010290,488,548
0.000010300,808,252
0.000010310,1068,-32
0.000010320,780,360
0.000010330,572,548
0.000010340,748,296
0.000010350,1004,12
0.000010360,908,220
0.000010370,576,552
0.000010380,692,412
0.000010390,980,36
0.000010400,936,112
0.000010410,588,492
0.000010420,540,480
0.000010430,888,108
0.000010440,1060,20
0.000010450,708,368
0.000010460,540,600
0.000010470,828,176
0.000010480,1036,-16
0.000010490,772,304
0.000010500,556,640
0.000010510,764,356
0.000010520,1004,-8
0.000010530,884,204
0.000010540,544,568
0.000010550,568,420
0.000010560,976,52
0.000010570,1016,120
0.000010580,576,548
0.000010590,488,548
0.000010600,852,72
0.000010610,1060,0
0.000010620,708,372
0.000010630,504,528
0.000010640,768,276
0.000010650,1076,-40
0.000010660,928,200
0.000010670,540,600
0.000010680,620,424
0.000010690,1016,68
0.000010700,1008,112
0.000010710,608,484
0.000010720,480,568
0.000010730,844,140
0.000010740,1072,-52
0.000010750,760,368
0.000010760,536,656
0.000010770,700,316
0.000010780,1056,-56
0.000010790,948,148
0.000010800,560,600
0.000010810,540,496
0.000010820,936,76
0.000010830,1064,0
0.000010840,700,464
0.000010850,456,644
0.000010860,748,232
0.000010870,1124,-8
0.000010880,868,268
0.000010890,512,540
0.000010900,568,448
0.000010910,968,32
0.000010920,1044,68
0.000010930,632,528
0.000010940,440,596
0.000010950,808,184
0.000010960,1128,36
0.000010970,792,296
0.000010980,432,684
0.000010990,612,368
0.000011000,1028,12
0.000011010,1012,52
0.000011020,616,544
0.000011030,472,572
0.000011040,856,164
0.000011050,1128,-20
0.000011060,832,296
0.000011070,464,612
0.000011080,580,400
0.000011090,1040,0
0.000011100,1076,56
0.000011110,684,532
0.000011120,432,560
0.000011130,892,168
0.000011140,1100,-32
0.000011150,872,312
0.000011160,460,676
0.000011170,548,428
0.000011180,1028,0
0.000011190,1072,60
0.000011200,680,520
0.000011210,456,636
0.000011220,792,244
0.000011230,1128,-112
0.000011240,1020,252
0.000011250,508,680
0.000011260,544,476
0.000011270,968,12
0.000011280,1132,-16
0.000011290,756,420
0.000011300,392,712
0.000011310,648,272
0.000011320,1068,-100
0.000011330,996,124
0.000011340,560,572
0.000011350,464,568
0.000011360,896,88
0.000011370,1072,-112
0.000011380,896,284
0.000011390,504,680
0.000011400,504,488
0.000011410,1060,-36
0.000011420,1136,-68
0.000011430,784,456
0.000011440,448,680
0.000011450,696,324
0.000011460,1096,-112
0.000011470,1052,132
0.000011480,548,556
0.000011490,424,656
0.000011500,832,180
0.000011510,1184,-96
0.000011520,920,236
0.000011530,484,656
0.000011540,492,560
0.000011550,916,68
0.000011560,1156,-52
0.000011570,788,424
0.000011580,384,736
0.000011590,560,360
0.000011600,1068,-96
0.000011610,1128,28
0.000011620,704,532
0.000011630,432,708
0.000011640,644,244
0.000011650,1156,-128
0.000011660,1096,116
0.000011670,596,584
0.000011680,364,708
0.000011690,784,160
0.000011700,1160,-80
0.000011710,960,224
0.000011720,528,624
0.000011730,448,616
0.000011740,860,56
0.000011750,1212,-80
0.000011760,900,320
0.000011770,488,692
0.000011780,484,480
0.000011790,952,52
0.000011800,1184,-96
0.000011810,888,332
0.000011820,456,752
0.000011830,540,452
0.000011840,928,-24
0.000011850,1232,-80
0.000011860,744,428
0.000011870,368,732
0.000011880,552,392
0.000011890,1044,-24
0.000011900,1120,-60
0.000011910,764,476
0.000011920,408,740
0.000011930,568,384
0.000011940,1004,-84
0.000011950,1136,8
0.000011960,720,484
0.000011970,420,656
0.000011980,596,384
0.000011990,1088,-64
0.000012000,1104,56
0.000012010,724,512
0.000012020,412,724
0.000012030,596,296
0.000012040,1036,-108
0.000012050,1120,-28
0.000012060,764,452
0.000012070,408,684
0.000012080,592,308
0.000012090,1012,-96
0.000012100,1160,-16
0.000012110,764,484
0.000012120,400,668
0.000012130,544,336
0.000012140,1052,-28
0.000012150,1092,-40
0.000012160,768,432
0.000012170,432,684
0.000012180,580,388
0.000012190,964,-12
0.000012200,1172,-28
0.000012210,824,396
0.000012220,444,644
0.000012230,576,476
0.000012240,964,32
0.000012250,1084,-16
0.000012260,908,412
0.000012270,440,672
0.000012280,472,492
0.000012290,848,88
0.000012300,1160,-32
0.000012310,952,296
0.000012320,452,664
0.000012330,420,592
0.000012340,812,92
0.000012350,1176,-84
0.000012360,1004,232
0.000012370,564,588
0.000012380,432,640
0.000012390,772,192
0.000012400,1100,-48
0.000012410,1136,88
0.000012420,728,540
0.000012430,428,660
0.000012440,640,272
0.000012450,944,-36
0.000012460,1092,4
0.000012470,812,392
0.000012480,436,660
0.000012490,496,412
0.000012500,924,36
0.000012510,1148,-44
0.000012520,844,368
0.000012530,516,660
0.000012540,480,524
0.000012550,820,76
0.000012560,1072,-24
0.000012570,1024,160
0.000012580,620,552
0.000012590,448,580
0.000012600,696,200
0.000012610,1048,-80
0.000012620,1068,112
0.000012630,732,524
0.000012640,428,648
0.000012650,548,380
0.000012660,908,60
0.000012670,1120,-4
